126    100   3000    100   3000    100   3000   3000   3000    100   3000 -1.7578 0.7834 0.0078 0.1108 0.0000 1.4936 2.5138 0.0010 0.0006 336.0000 556.3737 0.2916 0.0023 556.6676 
127    100   3000    100    100    100    100    100   3000    100   3000 -1.7422 0.8385 0.0000 0.3097 0.0000 1.1916 2.3545 0.0010 0.0015 316.0000 526.6923 0.1621 0.0026 526.8570 
128   3000   3000    100   3000    100    100    100   3000   3000   3000 -1.8125 1.3976 0.0234 0.0343 0.0000 1.7209 8.5929 0.0010 0.0017 264.0000 436.8752 0.2907 0.0049 437.1708 
129    100    100    100   3000   3000   3000    100    100   3000    100 -1.8828 0.5295 0.0156 0.0322 0.0000 1.3678 3.0016 0.0009 0.0011 314.0000 523.4643 0.2035 0.0024 523.6702 
130    100   3000    100    100    100    100    100   3000   3000    100 -2.1406 0.9250 0.0547 0.0823 0.0000 1.9741 9.3688 0.0010 0.0008 347.0000 572.8836 0.1605 0.0024 573.0465 
131    100   3000    100    100    100   3000    100    100   3000   3000 -2.1250 1.2598 0.1797 0.3507 0.0000 1.6151 3.0858 0.0010 0.0007 359.0000 591.4199 0.2047 0.0024 591.6270 
132    100    100   2999   2999   2999   2999   2999    100    100    100 -1.8984 1.0683 0.0547 0.0072 0.0000 0.8693 0.3079 0.0010 0.0003 445.0000 731.7905 0.2456 0.0025 732.0385 
133   2915    113   1890   1432   1545    819   3000    438   1134   1140 -3.1875 1.3661 0.6172 0.0657 15.8000 0.2265 7.2678 0.0008 0.0099 58.0000 97.7331 0.2348 0.0024 97.9703 
134   3000   3000    100    100   3000    100    100   3000   3000   3000 -1.8906 1.1061 0.1172 0.0308 0.0000 1.3447 4.1076 0.0009 0.0010 335.0000 553.1043 0.2885 0.0024 553.3952 
135   3000   3000    100    100    100    100    100    100   3000   3000 -2.0469 1.3364 0.0156 0.0336 0.0000 1.9018 6.7509 0.0010 0.0005 344.0000 567.7911 0.2043 0.0025 567.9979 
136    100    589   1924   3000   3000   3000    623   3000    456   3000 -2.4922 0.7086 0.1562 0.0759 0.0000 1.1168 7.8236 0.0000 0.0098 181.0000 302.5374 0.3399 0.0025 302.8798 
137    100    100   3000   3000   3000   3000    100   3000    100   3000 -2.1953 1.0245 0.1484 0.1722 0.0000 0.7112 5.0076 0.0010 0.0047 210.0000 350.5888 0.2905 0.0027 350.8820 
